team,season,wins,losses,pace,ortg,drtg,net_rating,srs,threepar,ftr,ft_fga,games,win_pct,spacing_index
Detroit Pistons,2018,39.0,43.0,96.2,107.2,107.3,-0.1,-0.26,0.333,0.227,0.169,82.0,0.47560975609756095,0.10600000000000001
Golden State Warriors*,2018,58.0,24.0,99.6,113.6,107.7,5.9,5.79,0.339,0.239,0.195,82.0,0.7073170731707317,0.10000000000000003
Houston Rockets*,2018,65.0,17.0,97.6,114.7,106.1,8.6,8.21,0.502,0.298,0.233,82.0,0.7926829268292683,0.20400000000000001
Indiana Pacers*,2018,48.0,34.0,96.0,109.5,108.1,1.4,1.18,0.284,0.222,0.173,82.0,0.5853658536585366,0.06199999999999997
Los Angeles Clippers,2018,42.0,40.0,98.7,110.3,110.2,0.1,0.15,0.314,0.299,0.222,82.0,0.5121951219512195,0.015000000000000013
Los Angeles Lakers,2018,35.0,47.0,100.3,106.5,108.0,-1.5,-1.44,0.329,0.264,0.188,82.0,0.4268292682926829,0.065
Memphis Grizzlies,2018,22.0,60.0,94.9,104.5,111.0,-6.5,-5.81,0.317,0.255,0.201,82.0,0.2682926829268293,0.062
Miami Heat*,2018,44.0,38.0,95.6,106.8,106.3,0.5,0.15,0.358,0.229,0.173,82.0,0.5365853658536586,0.12899999999999998
Milwaukee Bucks*,2018,44.0,38.0,96.3,109.8,110.1,-0.3,-0.45,0.297,0.281,0.22,82.0,0.5365853658536586,0.01599999999999996
Minnesota Timberwolves*,2018,47.0,35.0,96.0,113.4,111.1,2.3,2.35,0.261,0.28,0.225,82.0,0.573170731707317,-0.019000000000000017
New Orleans Pelicans*,2018,48.0,34.0,100.5,109.6,108.3,1.3,1.48,0.319,0.237,0.183,82.0,0.5853658536585366,0.08200000000000002
New York Knicks,2018,29.0,53.0,96.8,107.1,110.7,-3.6,-3.53,0.266,0.216,0.17,82.0,0.35365853658536583,0.05000000000000002
Oklahoma City Thunder*,2018,48.0,34.0,96.7,110.7,107.2,3.5,3.42,0.345,0.275,0.197,82.0,0.5853658536585366,0.06999999999999995
Orlando Magic,2018,25.0,57.0,98.1,105.2,110.1,-4.9,-4.92,0.342,0.238,0.18,82.0,0.3048780487804878,0.10400000000000004
Philadelphia 76ers*,2018,52.0,30.0,99.8,109.5,105.0,4.5,4.3,0.344,0.263,0.198,82.0,0.6341463414634146,0.08099999999999996
Phoenix Suns,2018,21.0,61.0,100.3,103.5,112.9,-9.4,-8.8,0.32,0.275,0.203,82.0,0.25609756097560976,0.044999999999999984
Portland Trail Blazers*,2018,49.0,33.0,96.5,109.1,106.4,2.7,2.6,0.324,0.24,0.192,82.0,0.5975609756097561,0.08400000000000002
Sacramento Kings,2018,27.0,55.0,94.9,103.7,111.1,-7.4,-6.6,0.278,0.194,0.143,82.0,0.32926829268292684,0.08400000000000002
San Antonio Spurs*,2018,47.0,35.0,95.0,107.9,104.8,3.1,2.89,0.282,0.245,0.189,82.0,0.573170731707317,0.03699999999999998
Toronto Raptors*,2018,59.0,23.0,97.4,113.8,105.9,7.9,7.29,0.377,0.25,0.198,82.0,0.7195121951219512,0.127
Utah Jazz*,2018,48.0,34.0,95.7,108.4,103.9,4.5,4.47,0.357,0.26,0.202,82.0,0.5853658536585366,0.09699999999999998
Washington Wizards*,2018,43.0,39.0,96.6,109.3,108.7,0.6,0.53,0.31,0.254,0.196,82.0,0.524390243902439,0.055999999999999994
Atlanta Hawks,2019,29.0,53.0,103.9,108.1,113.9,-5.8,-6.06,0.403,0.255,0.192,82.0,0.35365853658536583,0.14800000000000002
Boston Celtics*,2019,49.0,33.0,99.6,112.2,107.8,4.4,3.9,0.381,0.215,0.173,82.0,0.5975609756097561,0.166
Brooklyn Nets*,2019,42.0,40.0,100.8,109.6,109.7,-0.1,-0.4,0.403,0.284,0.211,82.0,0.5121951219512195,0.11900000000000005
Charlotte Hornets,2019,39.0,43.0,98.7,111.4,112.5,-1.1,-1.32,0.378,0.257,0.205,82.0,0.47560975609756095,0.121
Chicago Bulls,2019,22.0,60.0,99.0,104.8,113.2,-8.4,-8.32,0.295,0.235,0.184,82.0,0.2682926829268293,0.06
Cleveland Cavaliers,2019,19.0,63.0,96.6,107.7,117.6,-9.9,-9.39,0.332,0.236,0.187,82.0,0.23170731707317074,0.09600000000000003
Dallas Mavericks,2019,33.0,49.0,99.0,109.4,110.7,-1.3,-0.87,0.422,0.291,0.216,82.0,0.4024390243902439,0.131
Denver Nuggets*,2019,54.0,28.0,97.7,113.0,108.9,4.1,4.19,0.348,0.232,0.175,82.0,0.6585365853658537,0.11599999999999996
Detroit Pistons*,2019,41.0,41.0,97.4,109.0,109.2,-0.2,-0.56,0.394,0.262,0.195,82.0,0.5,0.132
Golden State Warriors*,2019,57.0,25.0,100.9,115.9,109.5,6.4,6.42,0.384,0.227,0.182,82.0,0.6951219512195121,0.157
Houston Rockets*,2019,53.0,29.0,97.9,115.5,110.7,4.8,4.96,0.519,0.279,0.221,82.0,0.6463414634146342,0.24
Indiana Pacers*,2019,48.0,34.0,98.1,109.9,106.5,3.4,2.76,0.292,0.242,0.182,82.0,0.5853658536585366,0.04999999999999999
Los Angeles Clippers*,2019,48.0,34.0,101.7,112.4,111.5,0.9,1.09,0.295,0.326,0.258,82.0,0.5853658536585366,-0.031000000000000028
Los Angeles Lakers,2019,37.0,45.0,103.2,107.8,109.5,-1.7,-1.33,0.342,0.257,0.18,82.0,0.45121951219512196,0.08500000000000002
